Pais,Modelo,R2,RMSE,MAE,MAPE,AIC
Honduras,ZINB,0.2611,9225.93,1878.47,678.67,8522.4
México,ZINB,0.1519,29272.77,6130.98,4339.38,10465.5
República Dominicana,ZINB,0.2213,1286.45,313.87,211.86,6663.2
Colombia,GAM,0.3381,14844.24,3152.86,52.14,10039.9
Costa Rica,GAM,0.2403,3096.93,587.99,186.78,7419.5
Honduras,GAM,0.288,9056.4,1622.63,590.81,8479.9
México,GAM,0.3033,26530.96,4962.4,2400.56,10445.5
República Dominicana,GAM,0.2534,1259.67,280.04,162.22,6610.9
Colombia,ETSIR_Suave,-6.8613,51514.19,7839.13,132.95,10142.9
Costa Rica,ETSIR_Suave,-22.8374,17466.18,2240.25,398.89,7521.5
Honduras,ETSIR_Suave,-137.937,127374.81,15185.79,2331.99,8674.2
México,ETSIR_Suave,-3.8551,70510.13,11792.16,4472.96,10509.1
República Dominicana,ETSIR_Suave,-288.1775,24938.71,2186.6,2389.13,6786.2
